"Time Period","Activities","Total Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Heart Rate","Average Run Cadence","Average Bike Cadence"
"07/03/2022","2","5.72 mi","46:36 h:m:s","643","102 ft","7.4 mph","141 bpm","177 spm","--"
"06/26/2022","2","9.66 mi","1:15:52 h:m:s","1,071","135 ft","7.6 mph","151 bpm","179 spm","--"
"06/19/2022","1","4.53 mi","51:19 h:m:s","572","453 ft","5.3 mph","138 bpm","157 spm","--"
"06/12/2022","1","4.82 mi","38:18 h:m:s","514","75 ft","7.5 mph","147 bpm","178 spm","--"
"06/05/2022","3","15.11 mi","2:57:30 h:m:s","2,053","2,090 ft","5.1 mph","142 bpm","154 spm","--"
"05/29/2022","1","4.82 mi","37:59 h:m:s","561","82 ft","7.6 mph","154 bpm","180 spm","--"
"05/22/2022","3","14.47 mi","1:51:30 h:m:s","1,642","223 ft","7.8 mph","153 bpm","183 spm","--"
"05/15/2022","2","12.54 mi","1:39:22 h:m:s","1,370","180 ft","7.6 mph","149 bpm","181 spm","--"
"05/08/2022","3","17.70 mi","2:19:17 h:m:s","1,956","226 ft","7.6 mph","150 bpm","183 spm","--"
"05/01/2022","2","12.21 mi","1:37:17 h:m:s","1,342","149 ft","7.5 mph","149 bpm","183 spm","--"
"04/24/2022","2","11.67 mi","1:33:49 h:m:s","1,260","197 ft","7.5 mph","147 bpm","181 spm","--"
"04/17/2022","1","2.26 mi","18:05 h:m:s","248","89 ft","7.5 mph","147 bpm","179 spm","--"
"04/03/2022","2","33.46 mi","7:12:53 h:m:s","4,798","3,593 ft","4.6 mph","158 bpm","155 spm","--"
"03/27/2022","2","11.83 mi","1:34:46 h:m:s","1,286","203 ft","7.5 mph","149 bpm","181 spm","--"
"03/20/2022","2","14.71 mi","1:57:20 h:m:s","1,743","276 ft","7.5 mph","158 bpm","183 spm","--"
"03/13/2022","2","13.54 mi","1:45:48 h:m:s","1,494","161 ft","7.7 mph","150 bpm","183 spm","--"
"03/06/2022","2","5.61 mi","44:08 h:m:s","635","174 ft","7.6 mph","149 bpm","181 spm","--"
"02/27/2022","2","7.15 mi","1:00:08 h:m:s","833","194 ft","7.1 mph","148 bpm","171 spm","--"
"02/20/2022","2","34.71 mi","7:21:38 h:m:s","3,359","4,794 ft","4.7 mph","140 bpm","139 spm","--"
"02/13/2022","3","13.12 mi","2:00:55 h:m:s","1,458","443 ft","6.5 mph","127 bpm","154 spm","--"
"02/06/2022","3","21.26 mi","2:53:32 h:m:s","2,450","1,030 ft","7.3 mph","152 bpm","181 spm","--"
"01/30/2022","2","11.68 mi","1:32:29 h:m:s","1,332","171 ft","7.6 mph","155 bpm","182 spm","--"
"01/23/2022","3","20.44 mi","2:38:47 h:m:s","2,296","344 ft","7.7 mph","154 bpm","183 spm","--"
"01/16/2022","1","8.28 mi","1:15:11 h:m:s","1,105","509 ft","6.6 mph","161 bpm","175 spm","--"
"01/09/2022","3","17.77 mi","3:58:23 h:m:s","2,400","1,272 ft","4.5 mph","135 bpm","133 spm","--"
"01/02/2022","2","9.17 mi","1:20:12 h:m:s","1,181","213 ft","6.9 mph","157 bpm","178 spm","--"
"12/26/2021","2","5.41 mi","2:13:48 h:m:s","1,028","896 ft","2.4 mph","112 bpm","72 spm","--"
"12/19/2021","1","6.25 mi","54:25 h:m:s","636","354 ft","6.9 mph","138 bpm","174 spm","--"
"12/12/2021","2","12.48 mi","1:45:09 h:m:s","1,564","377 ft","7.1 mph","157 bpm","179 spm","--"
"12/05/2021","2","8.03 mi","1:05:36 h:m:s","881","92 ft","7.3 mph","144 bpm","181 spm","--"
"11/28/2021","4","77.80 mi","18:40:44 h:m:s","9,647","5,944 ft","4.2 mph","145 bpm","157 spm","--"
"11/21/2021","2","3.75 mi","32:57 h:m:s","470","69 ft","6.8 mph","150 bpm","171 spm","--"
"11/14/2021","3","24.99 mi","3:36:55 h:m:s","3,255","1,463 ft","6.9 mph","157 bpm","178 spm","--"
"11/07/2021","2","22.93 mi","3:18:31 h:m:s","2,579","1,020 ft","6.9 mph","153 bpm","176 spm","--"
"10/31/2021","3","31.16 mi","5:20:25 h:m:s","4,702","2,375 ft","5.8 mph","165 bpm","171 spm","--"
"10/24/2021","3","29.44 mi","4:30:51 h:m:s","3,791","1,991 ft","6.5 mph","156 bpm","176 spm","--"
"10/17/2021","2","18.16 mi","2:35:48 h:m:s","2,289","1,247 ft","7.0 mph","158 bpm","180 spm","--"
"10/10/2021","2","18.23 mi","2:50:18 h:m:s","2,223","1,112 ft","6.4 mph","152 bpm","175 spm","--"
"10/03/2021","2","18.22 mi","2:52:30 h:m:s","2,143","1,060 ft","6.3 mph","146 bpm","173 spm","--"
"09/26/2021","3","21.82 mi","3:21:20 h:m:s","2,738","1,070 ft","6.5 mph","152 bpm","173 spm","--"
"09/19/2021","3","18.16 mi","2:26:07 h:m:s","2,031","272 ft","7.5 mph","151 bpm","181 spm","--"
"09/12/2021","2","12.06 mi","2:04:42 h:m:s","1,660","902 ft","5.8 mph","151 bpm","168 spm","--"
"09/05/2021","2","9.89 mi","1:29:36 h:m:s","1,184","627 ft","6.6 mph","146 bpm","175 spm","--"
"08/29/2021","2","9.65 mi","1:19:46 h:m:s","1,061","249 ft","7.3 mph","148 bpm","178 spm","--"
"08/22/2021","1","4.76 mi","39:14 h:m:s","553","72 ft","7.3 mph","153 bpm","179 spm","--"
"08/15/2021","2","9.63 mi","1:18:47 h:m:s","1,097","135 ft","7.3 mph","152 bpm","181 spm","--"
"08/08/2021","1","4.27 mi","35:37 h:m:s","473","62 ft","7.2 mph","146 bpm","178 spm","--"
"08/01/2021","3","11.88 mi","1:52:21 h:m:s","1,376","167 ft","6.3 mph","143 bpm","165 spm","--"
"07/25/2021","1","4.01 mi","34:19 h:m:s","465","75 ft","7.0 mph","150 bpm","173 spm","--"
"07/11/2021","1","5.24 mi","1:03:12 h:m:s","751","614 ft","5.0 mph","142 bpm","154 spm","--"
"07/04/2021","1","4.83 mi","40:20 h:m:s","556","92 ft","7.2 mph","150 bpm","176 spm","--"
"06/27/2021","1","4.81 mi","39:06 h:m:s","567","85 ft","7.4 mph","154 bpm","180 spm","--"
"06/20/2021","2","10.76 mi","1:25:45 h:m:s","1,228","144 ft","7.5 mph","152 bpm","183 spm","--"
"06/13/2021","2","8.68 mi","1:24:29 h:m:s","993","253 ft","6.2 mph","129 bpm","160 spm","--"
"05/30/2021","2","6.02 mi","52:36 h:m:s","641","82 ft","6.9 mph","128 bpm","166 spm","--"
"05/23/2021","3","10.31 mi","1:48:53 h:m:s","1,198","135 ft","5.7 mph","131 bpm","157 spm","--"
"05/16/2021","4","16.97 mi","3:00:18 h:m:s","1,782","531 ft","5.6 mph","121 bpm","148 spm","--"
"05/09/2021","2","5.41 mi","1:14:43 h:m:s","592","49 ft","4.3 mph","113 bpm","140 spm","--"
"05/02/2021","4","17.30 mi","2:54:40 h:m:s","1,341","587 ft","5.9 mph","107 bpm","158 spm","--"
"04/25/2021","3","8.23 mi","1:31:45 h:m:s","798","161 ft","5.4 mph","114 bpm","150 spm","--"
"04/18/2021","5","19.14 mi","3:20:39 h:m:s","2,197","735 ft","5.7 mph","133 bpm","155 spm","--"
"04/11/2021","1","6.33 mi","50:37 h:m:s","699","381 ft","7.5 mph","152 bpm","179 spm","--"
"04/04/2021","2","12.06 mi","1:35:21 h:m:s","1,353","715 ft","7.6 mph","154 bpm","179 spm","--"
"03/28/2021","1","14.27 mi","2:13:18 h:m:s","534","171 ft","6.4 mph","86 bpm","--","--"
"03/21/2021","2","14.96 mi","1:58:10 h:m:s","1,693","856 ft","7.6 mph","155 bpm","180 spm","--"
"03/14/2021","1","5.60 mi","44:20 h:m:s","628","305 ft","7.6 mph","152 bpm","179 spm","--"
"03/07/2021","2","12.68 mi","1:42:36 h:m:s","1,354","801 ft","7.4 mph","145 bpm","179 spm","--"
"02/28/2021","2","9.02 mi","1:18:09 h:m:s","1,077","758 ft","6.9 mph","147 bpm","172 spm","--"
"02/21/2021","1","6.00 mi","47:23 h:m:s","628","135 ft","7.6 mph","144 bpm","182 spm","--"
"02/14/2021","2","13.59 mi","1:47:32 h:m:s","1,601","217 ft","7.6 mph","156 bpm","184 spm","--"
"02/07/2021","2","8.41 mi","1:06:12 h:m:s","904","154 ft","7.6 mph","142 bpm","181 spm","--"
"01/31/2021","2","14.31 mi","2:05:50 h:m:s","1,734","738 ft","6.8 mph","149 bpm","176 spm","--"
"01/24/2021","2","16.05 mi","2:02:23 h:m:s","1,726","272 ft","7.9 mph","150 bpm","184 spm","--"
"01/17/2021","1","8.08 mi","1:02:36 h:m:s","839","210 ft","7.7 mph","147 bpm","183 spm","--"
"01/10/2021","2","14.03 mi","1:50:41 h:m:s","1,529","197 ft","7.6 mph","150 bpm","183 spm","--"
"01/03/2021","2","18.10 mi","2:23:38 h:m:s","2,011","443 ft","7.6 mph","152 bpm","182 spm","--"
"12/27/2020","2","17.87 mi","2:20:19 h:m:s","1,936","410 ft","7.6 mph","153 bpm","185 spm","--"
"12/20/2020","1","7.01 mi","53:18 h:m:s","819","108 ft","7.9 mph","164 bpm","184 spm","--"
"12/13/2020","3","19.37 mi","2:24:54 h:m:s","1,900","249 ft","8.0 mph","148 bpm","184 spm","--"
"12/06/2020","2","8.32 mi","1:06:56 h:m:s","927","190 ft","7.5 mph","146 bpm","181 spm","--"
