time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet
,39.64691,-76.98581,208.3,"(39.64691, -76.98581, 208.3)",0.0,,,0.0,0.0
,39.64687,-76.98583,208.0,"(39.64687, -76.98583, 208.0)",0.00296149,-0.30000000000001137,-0.30000000000001137,0.00296149,15.636667200000002
,39.64685,-76.98585,207.8,"(39.64685, -76.98585, 207.8)",0.00174405,-0.19999999999998863,-0.5,0.00470554,9.208584
,39.6467,-76.98603,206.6,"(39.6467, -76.98603, 206.6)",0.0141109,-1.200000000000017,-1.700000000000017,0.01881644,74.505552
,39.64661,-76.98615,206.3,"(39.64661, -76.98615, 206.3)",0.00891215,-0.29999999999998295,-2.0,0.02772859,47.056152000000004
,39.64647,-76.98634,206.3,"(39.64647, -76.98634, 206.3)",0.01399094,0.0,-2.0,0.041719530000000005,73.8721632
,39.64633,-76.98651,206.3,"(39.64633, -76.98651, 206.3)",0.01324265,0.0,-2.0,0.054962180000000006,69.921192
,39.6463,-76.98655,206.2,"(39.6463, -76.98655, 206.2)",0.00297072,-0.10000000000002274,-2.1000000000000227,0.05793290000000001,15.6854016
,39.64621,-76.98674,206.1,"(39.64621, -76.98674, 206.1)",0.01186791,-0.09999999999999432,-2.200000000000017,0.06980081,62.662564800000006
,39.64616,-76.98702,205.2,"(39.64616, -76.98702, 205.2)",0.01529187,-0.9000000000000057,-3.1000000000000227,0.08509268,80.7410736
,39.64615,-76.98707,205.0,"(39.64615, -76.98707, 205.0)",0.00274836,-0.19999999999998863,-3.3000000000000114,0.08784104000000001,14.511340800000001
,39.64613,-76.98732,204.3,"(39.64613, -76.98732, 204.3)",0.01337207,-0.6999999999999886,-4.0,0.10121311000000001,70.60452959999999
,39.64613,-76.98738,204.1,"(39.64613, -76.98738, 204.1)",0.00319212,-0.20000000000001705,-4.200000000000017,0.10440523000000002,16.8543936
,39.64611,-76.98764,203.5,"(39.64611, -76.98764, 203.5)",0.01390135,-0.5999999999999943,-4.800000000000011,0.11830658000000002,73.399128
,39.6461,-76.9879,202.4,"(39.6461, -76.9879, 202.4)",0.01384975,-1.0999999999999943,-5.900000000000006,0.13215633000000002,73.12668
,39.64609,-76.98816,201.4,"(39.64609, -76.98816, 201.4)",0.01384975,-1.0,-6.900000000000006,0.14600608,73.12668
,39.64609,-76.98821,201.2,"(39.64609, -76.98821, 201.2)",0.0026601,-0.20000000000001705,-7.100000000000023,0.14866618,14.045328
,39.64611,-76.98845,200.1,"(39.64611, -76.98845, 200.1)",0.01284302,-1.0999999999999943,-8.200000000000017,0.16150920000000002,67.8111456
,39.64611,-76.9885,199.8,"(39.64611, -76.9885, 199.8)",0.0026601,-0.29999999999998295,-8.5,0.16416930000000002,14.045328
,39.64613,-76.98872,198.4,"(39.64613, -76.98872, 198.4)",0.01178572,-1.4000000000000057,-9.900000000000006,0.17595502000000002,62.2286016
,39.64612,-76.98883,197.3,"(39.64612, -76.98883, 197.3)",0.00589286,-1.0999999999999943,-11.0,0.18184788000000002,31.1143008
