time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet,gradient_point,gradient_rating
,39.994946,-77.926552,389.5,"(39.994946, -77.926552, 389.5)",0.0,,,0.0,0.0,0.0,flat
,39.994942,-77.926544,389.5,"(39.994942, -77.926544, 389.5)",0.00050567,0.0,0.0,0.00050567,2.6699376,0.0,flat
,39.99493,-77.926529,389.0,"(39.99493, -77.926529, 389.0)",0.00114798,-0.5,-0.5,0.00165365,6.061334400000001,-17.6,bigDown
,39.994831,-77.926468,386.100006,"(39.994831, -77.926468, 386.100006)",0.00756404,-2.8999939999999924,-3.3999939999999924,0.00921769,39.9381312,-22.0,bigDown
,39.994755,-77.926376,387.100006,"(39.994755, -77.926376, 387.100006)",0.00716164,1.0,-2.3999939999999924,0.01637933,37.813459200000004,8.0,up
,39.994724,-77.926353,386.600006,"(39.994724, -77.926353, 386.600006)",0.00246372,-0.5,-2.8999939999999924,0.01884305,13.0084416,-10.1,down
,39.994709,-77.926331,387.100006,"(39.994709, -77.926331, 387.100006)",0.00155892,0.5,-2.3999939999999924,0.02040197,8.2310976,14.2,up
,39.99472,-77.926231,387.5,"(39.99472, -77.926231, 387.5)",0.00534756,0.3999939999999924,-2.0,0.02574953,28.2351168,4.2,flat
,39.994747,-77.926163,387.5,"(39.994747, -77.926163, 387.5)",0.00405414,0.0,-2.0,0.02980367,21.405859200000002,0.0,flat
,39.994774,-77.926132,387.5,"(39.994774, -77.926132, 387.5)",0.00248451,0.0,-2.0,0.03228818,13.1182128,0.0,flat
,39.994793,-77.926071,388.5,"(39.994793, -77.926071, 388.5)",0.00348556,1.0,-1.0,0.03577374,18.4037568,15.1,bigUp
,39.994804,-77.926041,388.5,"(39.994804, -77.926041, 388.5)",0.00176049,0.0,-1.0,0.03753423,9.2953872,0.0,flat
,39.994877,-77.925926,389.0,"(39.994877, -77.925926, 389.0)",0.00790536,0.5,-0.5,0.04543959,41.7403008,3.6,flat
,39.994976,-77.925743,388.5,"(39.994976, -77.925743, 388.5)",0.01185835,-0.5,-1.0,0.057297940000000006,62.612088,-2.5,flat
,39.995037,-77.925613,388.5,"(39.995037, -77.925613, 388.5)",0.00806938,0.0,-1.0,0.06536732,42.60632639999999,0.0,flat
,39.995045,-77.925583,388.5,"(39.995045, -77.925583, 388.5)",0.00168143,0.0,-1.0,0.06704875,8.8779504,0.0,flat
,39.995068,-77.925415,389.0,"(39.995068, -77.925415, 389.0)",0.00903353,0.5,-0.5,0.07608228,47.6970384,3.2,flat
,39.995106,-77.92524,389.5,"(39.995106, -77.92524, 389.5)",0.00962808,0.5,0.0,0.08571036,50.8362624,3.0,flat
,39.995121,-77.925087,390.0,"(39.995121, -77.925087, 390.0)",0.00816471,0.5,0.5,0.09387507,43.1096688,3.5,flat
,39.995117,-77.924934,389.5,"(39.995117, -77.924934, 389.5)",0.00810337,-0.5,0.0,0.10197844,42.785793600000005,-3.6,flat
,39.99519,-77.924728,391.899994,"(39.99519, -77.924728, 391.899994)",0.01201411,2.3999939999999924,2.3999939999999924,0.11399255,63.434500799999995,11.8,up
,39.995193,-77.92469,391.399994,"(39.995193, -77.92469, 391.399994)",0.00202208,-0.5,1.8999939999999924,0.11601463,10.6765824,-11.8,down
,39.995171,-77.924614,392.399994,"(39.995171, -77.924614, 392.399994)",0.00430046,1.0,2.8999939999999924,0.12031509,22.706428799999998,12.6,up
,39.995193,-77.9245,394.299988,"(39.995193, -77.9245, 394.299988)",0.0062228,1.8999939999999924,4.799987999999985,0.12653789,32.856384,17.2,bigUp
,39.995209,-77.924385,395.700012,"(39.995209, -77.924385, 395.700012)",0.00618679,1.4000240000000304,6.200012000000015,0.13272467999999998,32.6662512,12.8,up
,39.99522,-77.924233,397.600006,"(39.99522, -77.924233, 397.600006)",0.00808153,1.8999939999999924,8.100006000000008,0.14080621,42.6704784,13.6,up
,39.995247,-77.924065,398.600006,"(39.995247, -77.924065, 398.600006)",0.0090862,1.0,9.100006000000008,0.14989240999999998,47.97513599999999,6.4,up
,39.995255,-77.924026,399.100006,"(39.995255, -77.924026, 399.100006)",0.00213708,0.5,9.600006000000008,0.15202949,11.2837824,11.3,up
,39.995357,-77.923851,399.100006,"(39.995357, -77.923851, 399.100006)",0.01163931,0.0,9.600006000000008,0.1636688,61.4555568,0.0,flat
,39.995506,-77.923706,401.0,"(39.995506, -77.923706, 401.0)",0.01284109,1.8999939999999924,11.5,0.17650989,67.8009552,8.8,up
,39.995617,-77.923615,402.5,"(39.995617, -77.923615, 402.5)",0.00905654,1.5,13.0,0.18556643,47.8185312,9.6,up
,39.99572,-77.923508,403.899994,"(39.99572, -77.923508, 403.899994)",0.00909528,1.3999939999999924,14.399993999999992,0.19466171000000002,48.0230784,9.0,up
,39.995811,-77.923393,404.399994,"(39.995811, -77.923393, 404.399994)",0.00875136,0.5,14.899993999999992,0.20341307000000003,46.207180799999996,3.3,flat
,39.995895,-77.923264,402.5,"(39.995895, -77.923264, 402.5)",0.00896153,-1.8999939999999924,13.0,0.21237460000000002,47.3168784,-12.3,down
,39.995922,-77.923241,403.399994,"(39.995922, -77.923241, 403.399994)",0.00222762,0.8999939999999924,13.899993999999992,0.21460222000000004,11.761833600000001,19.6,bigUp
,39.996052,-77.923111,402.0,"(39.996052, -77.923111, 402.0)",0.01131498,-1.3999939999999924,12.5,0.22591720000000004,59.743094400000004,-7.3,down
,39.996124,-77.923019,402.0,"(39.996124, -77.923019, 402.0)",0.00696147,0.0,12.5,0.23287867000000004,36.7565616,0.0,flat
,39.996231,-77.92289,403.899994,"(39.996231, -77.92289, 403.899994)",0.01006381,1.8999939999999924,14.399993999999992,0.24294248000000004,53.136916799999995,11.0,up
,39.996319,-77.922813,403.899994,"(39.996319, -77.922813, 403.899994)",0.00731988,0.0,14.399993999999992,0.25026236,38.6489664,0.0,flat
,39.996361,-77.922661,402.899994,"(39.996361, -77.922661, 402.899994)",0.00855293,-1.0,13.399993999999992,0.25881529000000003,45.159470400000004,-6.8,down
,39.996349,-77.922585,401.5,"(39.996349, -77.922585, 401.5)",0.00410735,-1.3999939999999924,12.0,0.26292264000000004,21.686808,-18.4,bigDown
,39.996353,-77.922417,398.600006,"(39.996353, -77.922417, 398.600006)",0.00889678,-2.8999939999999924,9.100006000000008,0.27181942000000003,46.9749984,-18.9,bigDown
,39.996319,-77.922234,396.200012,"(39.996319, -77.922234, 396.200012)",0.00996725,-2.3999939999999924,6.700012000000015,0.28178667,52.62708,-14.1,down
,39.996262,-77.922012,392.399994,"(39.996262, -77.922012, 392.399994)",0.01239321,-3.8000180000000228,2.8999939999999924,0.29417988,65.4361488,-18.1,bigDown
,39.996212,-77.921829,391.399994,"(39.996212, -77.921829, 391.399994)",0.01028409,-1.0,1.8999939999999924,0.30446397000000003,54.2999952,-5.7,down
,39.99617,-77.921684,390.899994,"(39.99617, -77.921684, 390.899994)",0.00820536,-0.5,1.3999939999999924,0.31266933,43.3243008,-3.5,flat
,39.996143,-77.921577,389.5,"(39.996143, -77.921577, 389.5)",0.00596301,-1.3999939999999924,0.0,0.31863234,31.4846928,-13.2,down
,39.996132,-77.921516,388.5,"(39.996132, -77.921516, 388.5)",0.00331707,-1.0,-1.0,0.32194941,17.5141296,-15.8,bigDown
,39.99609,-77.921326,389.0,"(39.99609, -77.921326, 389.0)",0.01046731,0.5,-0.5,0.33241672,55.2673968,2.8,flat
,39.996044,-77.92112,389.0,"(39.996044, -77.92112, 389.0)",0.01135769,0.0,-0.5,0.34377441,59.968603200000004,0.0,flat
,39.996063,-77.920975,388.0,"(39.996063, -77.920975, 388.0)",0.00778656,-1.0,-1.5,0.35156097,41.113036799999996,-7.4,down
,39.996082,-77.920799,386.100006,"(39.996082, -77.920799, 386.100006)",0.00940802,-1.8999939999999924,-3.3999939999999924,0.36096899,49.674345599999995,-11.8,down
,39.99612,-77.920609,383.700012,"(39.99612, -77.920609, 383.700012)",0.01039409,-2.3999939999999924,-5.799987999999985,0.37136308,54.8807952,-13.5,down
,39.996128,-77.920479,383.200012,"(39.996128, -77.920479, 383.200012)",0.00690328,-0.5,-6.299987999999985,0.37826636,36.4493184,-4.1,flat
,39.99614,-77.92028,383.700012,"(39.99614, -77.92028, 383.700012)",0.01056597,0.5,-5.799987999999985,0.38883233,55.788321599999996,2.8,flat
,39.996105,-77.920097,383.700012,"(39.996105, -77.920097, 383.700012)",0.00998379,0.0,-5.799987999999985,0.39881612,52.714411199999994,0.0,flat
