time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet
2013-02-09 02:18:42+00:00,38.36716,-79.16447,489.86792,"(38.36716, -79.16447, 489.86792)",0.0,,,0.0,0.0
2013-02-09 02:18:43+00:00,38.36716,-79.16447,489.86792,"(38.36716, -79.16447, 489.86792)",0.0,0.0,0.0,0.0,0.0
2013-02-09 02:18:44+00:00,38.36717,-79.16448,489.940033,"(38.36717, -79.16448, 489.940033)",0.00087798,0.07211300000000165,0.07211300000000165,0.00087798,4.6357344
2013-02-09 02:18:49+00:00,38.36717,-79.16452,490.083984,"(38.36717, -79.16452, 490.083984)",0.00216691,0.14395099999995864,0.2160639999999603,0.00304489,11.441284800000002
2013-02-09 02:18:55+00:00,38.36716,-79.16459,490.299713,"(38.36716, -79.16459, 490.299713)",0.00385452,0.21572900000001027,0.43179299999997056,0.00689941,20.3518656
2013-02-09 02:18:59+00:00,38.36721,-79.16461,490.551971,"(38.36721, -79.16461, 490.551971)",0.00362058,0.25225799999998344,0.684050999999954,0.01051999,19.1166624
2013-02-09 02:19:13+00:00,38.36716,-79.16477,490.947876,"(38.36716, -79.16477, 490.947876)",0.00933072,0.3959050000000275,1.0799559999999815,0.01985071,49.2662016
2013-02-09 02:19:14+00:00,38.36717,-79.16476,490.948181,"(38.36717, -79.16476, 490.948181)",0.00087798,0.00030499999996891347,1.0802609999999504,0.02072869,4.6357344
2013-02-09 02:19:20+00:00,38.36716,-79.16474,490.839844,"(38.36716, -79.16474, 490.839844)",0.00128501,-0.10833699999994906,0.9719240000000013,0.0220137,6.7848528
2013-02-09 02:19:26+00:00,38.36712,-79.16476,490.768036,"(38.36712, -79.16476, 490.768036)",0.00296852,-0.07180800000003273,0.9001159999999686,0.02498222,15.6737856
2013-02-09 02:19:31+00:00,38.3671,-79.16473,490.588196,"(38.3671, -79.16473, 490.588196)",0.00213325,-0.17984000000001288,0.7202759999999557,0.02711547,11.26356
