time,latitude,longitude,elevation,pointxyz,distance,elevation_change,cum_elevation,cum_distance,step_feet,mile_num,gradient_point,gradient_rating
,38.64112,-78.59029,338.531921,"(38.64112, -78.59029, 338.531921)",0.0,,,0.0,0.0,1.0,0.0,flat
,38.64121,-78.5903,340.096344,"(38.64121, -78.5903, 340.096344)",0.00624178,1.5644229999999766,1.5644229999999766,0.00624178,32.9565984,1.0,14.2,up
,38.64123,-78.59032,340.314514,"(38.64123, -78.59032, 340.314514)",0.00175343,0.21816999999998643,1.782592999999963,0.007995209999999999,9.2581104,1.0,5.7,up
,38.64116,-78.59057,335.312012,"(38.64116, -78.59057, 335.312012)",0.01433244,-5.002501999999993,-3.2199090000000297,0.022327649999999997,75.6752832,1.0,-20.8,bigDown
,38.64107,-78.59073,329.783783,"(38.64107, -78.59073, 329.783783)",0.01064081,-5.528228999999953,-8.748137999999983,0.03296846,56.1834768,1.0,-21.4,bigDown
,38.64105,-78.59076,328.810638,"(38.64105, -78.59076, 328.810638)",0.00212856,-0.973145000000045,-9.721283000000028,0.03509702,11.2387968,1.0,-22.0,bigDown
,38.64102,-78.59081,327.301575,"(38.64102, -78.59081, 327.301575)",0.00340259,-1.5090629999999692,-11.230345999999997,0.03849961,17.9656752,1.0,-23.3,bigDown
,38.64095,-78.59094,324.089355,"(38.64095, -78.59094, 324.089355)",0.00852129,-3.212220000000002,-14.442566,0.0470209,44.99241120000001,1.0,-21.8,bigDown
,38.64094,-78.59112,323.305054,"(38.64094, -78.59112, 323.305054)",0.00973862,-0.7843010000000277,-15.226867000000027,0.056759519999999994,51.4199136,1.0,-4.7,flat
,38.64092,-78.59118,323.109711,"(38.64092, -78.59118, 323.109711)",0.00352057,-0.19534299999997984,-15.422210000000007,0.060280089999999995,18.5886096,1.0,-2.9,flat
,38.64089,-78.59126,323.061279,"(38.64089, -78.59126, 323.061279)",0.00478918,-0.04843199999999115,-15.470641999999998,0.06506927,25.286870399999998,1.0,-0.6,flat
