time,latitude,longitude,elevation
,38.64156,-78.58957,346.579987
,38.6416,-78.58947,347.299683
,38.64158,-78.58935,346.940582
,38.64159,-78.58921,347.120117
,38.64163,-78.58909,347.839813
,38.64168,-78.589,348.685669
,38.64175,-78.5889,349.632233
,38.64181,-78.58878,350.186676
,38.64187,-78.58865,350.799469
,38.64193,-78.58856,351.555634
,38.642,-78.58848,352.527252
,38.64209,-78.58842,353.903442
,38.64218,-78.58838,354.944427
,38.64227,-78.58832,355.771851
,38.64233,-78.58831,356.448792
,38.64237,-78.5883,356.772247
,38.6424,-78.58831,356.890137
,38.64242,-78.58831,356.920013
,38.64245,-78.58832,357.048248
,38.64247,-78.58832,357.080841
,38.64249,-78.58832,357.113281
,38.6425,-78.58832,357.129639
,38.64259,-78.58833,357.378174
,38.64263,-78.58833,357.448578
,38.64266,-78.58833,357.236603
,38.64269,-78.58833,356.912537
,38.64271,-78.58833,356.696167
,38.64273,-78.58833,356.479828
,38.64276,-78.58834,356.263458
,38.64278,-78.58834,356.048004
,38.6428,-78.58835,355.939392
,38.64283,-78.58836,355.723938
,38.64286,-78.58837,355.507568
,38.64288,-78.58838,355.399872
,38.64297,-78.58842,354.24823
,38.64305,-78.5885,353.520691
,38.64316,-78.58858,352.294983
,38.64322,-78.58864,351.549988
,38.64324,-78.58866,351.175507
,38.64326,-78.58868,350.807281
,38.64327,-78.58872,351.091248
,38.64328,-78.58875,351.229584
,38.64329,-78.58877,351.240387
,38.64331,-78.58881,351.299835
,38.64332,-78.58884,351.519379
,38.64334,-78.58886,351.283569
,38.64336,-78.58889,351.252533
,38.64338,-78.5889,350.870178
,38.64339,-78.58893,351.167603
,38.6434,-78.58896,351.482941
,38.64342,-78.58898,351.348511
,38.64344,-78.589,351.235352
,38.64351,-78.58905,350.700256
,38.64354,-78.58905,349.952728
,38.64356,-78.58906,349.752289
,38.64358,-78.58908,349.860779
,38.64361,-78.58908,349.126953
,38.64364,-78.58906,347.770599
,38.64366,-78.58905,346.962616
,38.64368,-78.58905,346.463562
,38.6437,-78.58904,345.647217
,38.64373,-78.58903,344.575195
,38.64375,-78.58901,343.614807
,38.64378,-78.589,343.194122
,38.64381,-78.58899,342.781189
,38.64383,-78.58898,342.44223
,38.64386,-78.58897,342.04184
,38.64389,-78.58897,341.848267
,38.64391,-78.58896,341.524261
,38.64394,-78.58895,341.144196
,38.64396,-78.58895,341.020172
,38.64399,-78.58896,341.018768
,38.64401,-78.58897,341.073975
,38.64411,-78.58899,340.929199
,38.64414,-78.589,340.893585
,38.64417,-78.58901,340.819672
,38.64419,-78.58903,340.878418
,38.64429,-78.58906,340.704987
,38.64433,-78.58909,341.392792
,38.64436,-78.58911,342.032166
,38.64438,-78.58912,342.376282
,38.64441,-78.58914,342.915955
,38.64443,-78.58916,343.318604
,38.64447,-78.58917,343.715454
,38.64449,-78.58918,343.940552
,38.64452,-78.5892,344.273163
,38.64455,-78.5892,344.437408
,38.64457,-78.58921,344.59021
,38.64467,-78.58924,345.4617
,38.64477,-78.5892,346.219482
,38.64484,-78.5891,346.791809
,38.64492,-78.589,348.117126
,38.64496,-78.58894,348.871613
,38.64497,-78.58893,349.036194
,38.64499,-78.58891,349.349915
,38.64501,-78.5889,349.646759
,38.64507,-78.58881,350.364868
,38.64515,-78.58873,350.89502
,38.64522,-78.58866,350.619995
,38.6453,-78.58861,350.350525
,38.64532,-78.58861,350.457825
