name,value,units,def_num,raw_value
timestamp,2022-05-04T13:45:53+00:00,,253,1020606353
position_lat,38.796490682289004,deg,0,462860163
position_long,-77.0455059595406,deg,1,-919188690
distance,0.00051,km,5,51
enhanced_altitude,-3.0,m,78,-3.0
altitude,-3.0,m,2,2485
enhanced_speed,0.0,km/h,73,0.0
speed,0.0,km/h,6,0
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,86,bpm,3,86
cadence,0,rpm,4,0
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,182.34649658203125,c/hr,1,182.34649658203125
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:45:54+00:00,,253,1020606354
position_lat,38.79648791626096,deg,0,462860130
position_long,-77.04549414105713,deg,1,-919188549
distance,0.00158,km,5,158
enhanced_altitude,-3.0,m,78,-3.0
altitude,-3.0,m,2,2485
enhanced_speed,0.0,km/h,73,0.0
speed,0.0,km/h,6,0
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,85,bpm,3,85
cadence,0,rpm,4,0
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,0.0,c/hr,1,0.0
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:45:55+00:00,,253,1020606355
position_lat,38.796474169939756,deg,0,462859966
position_long,-77.04547360539436,deg,1,-919188304
distance,0.00393,km,5,393
enhanced_altitude,-3.0,m,78,-3.0
altitude,-3.0,m,2,2485
enhanced_speed,0.0,km/h,73,0.0
speed,0.0,km/h,6,0
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,85,bpm,3,85
cadence,0,rpm,4,0
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,0.0,c/hr,1,0.0
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:45:56+00:00,,253,1020606356
position_lat,38.79646226763725,deg,0,462859824
position_long,-77.04545910470188,deg,1,-919188131
distance,0.005719999999999999,km,5,572
enhanced_altitude,-3.3999999999999773,m,78,-3.3999999999999773
altitude,-3.3999999999999773,m,2,2483
enhanced_speed,0.0,km/h,73,0.0
speed,0.0,km/h,6,0
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,87,bpm,3,87
cadence,0,rpm,4,0
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,0.0,c/hr,1,0.0
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:45:57+00:00,,253,1020606357
position_lat,38.79644047468901,deg,0,462859564
position_long,-77.04545021988451,deg,1,-919188025
distance,0.00826,km,5,826
enhanced_altitude,-3.6000000000000227,m,78,-3.6000000000000227
altitude,-3.6000000000000227,m,2,2482
enhanced_speed,0.0,km/h,73,0.0
speed,0.0,km/h,6,0
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,86,bpm,3,86
cadence,0,rpm,4,0
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,0.0,c/hr,1,0.0
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:45:58+00:00,,253,1020606358
position_lat,38.79641440697014,deg,0,462859253
position_long,-77.04544996842742,deg,1,-919188022
distance,0.01116,km,5,1116
enhanced_altitude,-3.8000000000000114,m,78,-3.8000000000000114
altitude,-3.8000000000000114,m,2,2481
enhanced_speed,0.0,km/h,73,0.0
speed,0.0,km/h,6,0
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,93,bpm,3,93
cadence,85,rpm,4,85
temperature,26,C,13,26
fractional_cadence,0.5,rpm,53,64
eE,0.0,c/hr,1,0.0
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:45:59+00:00,,253,1020606359
position_lat,38.796388171613216,deg,0,462858940
position_long,-77.0454528182745,deg,1,-919188056
distance,0.01408,km,5,1408
enhanced_altitude,-4.0,m,78,-4.0
altitude,-4.0,m,2,2480
enhanced_speed,3.9384000000000006,km/h,73,1.094
speed,3.9384000000000006,km/h,6,1094
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,94,bpm,3,94
cadence,86,rpm,4,86
temperature,26,C,13,26
fractional_cadence,0.5,rpm,53,64
eE,274.84954833984375,c/hr,1,274.84954833984375
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:46:00+00:00,,253,1020606360
position_lat,38.796360678970814,deg,0,462858612
position_long,-77.04546019434929,deg,1,-919188144
distance,0.01719,km,5,1719
enhanced_altitude,-4.0,m,78,-4.0
altitude,-4.0,m,2,2480
enhanced_speed,7.628400000000001,km/h,73,2.119
speed,7.628400000000001,km/h,6,2119
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,96,bpm,3,96
cadence,87,rpm,4,87
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,274.84954833984375,c/hr,1,274.84954833984375
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:46:01+00:00,,253,1020606361
position_lat,38.79633452743292,deg,0,462858300
position_long,-77.04546983353794,deg,1,-919188259
distance,0.02022,km,5,2022
enhanced_altitude,-4.0,m,78,-4.0
altitude,-4.0,m,2,2480
enhanced_speed,9.5364,km/h,73,2.649
speed,9.5364,km/h,6,2649
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,101,bpm,3,101
cadence,87,rpm,4,87
temperature,26,C,13,26
fractional_cadence,0.5,rpm,53,64
eE,274.84954833984375,c/hr,1,274.84954833984375
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:46:02+00:00,,253,1020606362
position_lat,38.796307956799865,deg,0,462857983
position_long,-77.04548022709787,deg,1,-919188383
distance,0.0233,km,5,2330
enhanced_altitude,-4.0,m,78,-4.0
altitude,-4.0,m,2,2480
enhanced_speed,10.8216,km/h,73,3.006
speed,10.8216,km/h,6,3006
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,104,bpm,3,104
cadence,88,rpm,4,88
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,274.84954833984375,c/hr,1,274.84954833984375
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:46:03+00:00,,253,1020606363
position_lat,38.796280631795526,deg,0,462857657
position_long,-77.04548986628652,deg,1,-919188498
distance,0.02644,km,5,2644
enhanced_altitude,-4.0,m,78,-4.0
altitude,-4.0,m,2,2480
enhanced_speed,10.962,km/h,73,3.045
speed,10.962,km/h,6,3045
unknown_87,,,87,
unknown_88,100,,88,100
heart_rate,108,bpm,3,108
cadence,88,rpm,4,88
temperature,26,C,13,26
fractional_cadence,0.0,rpm,53,0
eE,274.84954833984375,c/hr,1,274.84954833984375
rE,,runEco,2,
pwr,,w,5,
tpRE,,runEco,9,
frnrRE,,runEco,10,
timestamp,2022-05-04T13:46:04+00:00,,253,1020606364
position_lat,38.79625339061022,deg,0,462857332
position_long,-77.0454995892942,deg,1,-919188614
